US_ID	s_manual_trinary	s_svm_trinary	s_lexicoder_trinary	s_huliu_trinary	s_geninq_trinary	s_LoughranMcDonald_trinary	s_roBERTa_trinary
10736	-1	0	-1	0	-1	0	-1
10742	0	-1	0	1	1	-1	-1
10750	0	0	1	1	1	1	1
10756	1	0	1	-1	0	-1	0
10762	0	0	1	0	0	-1	1
10767	1	1	-1	1	-1	-1	-1
10770	1	1	-1	-1	-1	-1	0
10782	-1	0	-1	1	1	0	-1
10788	0	0	1	1	1	1	0
10792	0	0	-1	1	-1	0	-1
10794	0	0	-1	1	0	-1	0
10801	0	0	1	1	0	0	0
10804	0	0	0	1	-1	-1	0
10808	0	0	1	0	1	-1	0
10813	0	0	-1	0	-1	-1	0
10818	0	0	-1	0	-1	-1	-1
10825	0	0	1	1	0	1	-1
10832	0	0	1	1	1	1	0
10836	0	0	1	1	1	0	0
10845	0	0	1	-1	1	-1	-1
10853	0	0	1	-1	1	-1	0
10861	0	0	1	1	1	1	1
10865	0	0	1	-1	-1	0	0
10874	0	0	1	1	1	0	0
10883	1	0	-1	-1	-1	-1	0
10892	0	0	1	-1	1	-1	0
10903	0	0	1	0	-1	-1	0
10915	-1	0	1	0	-1	-1	-1
10924	1	0	0	1	1	-1	1
10938	0	0	1	1	1	0	1
10948	0	0	-1	-1	-1	-1	-1
10957	0	0	-1	1	1	0	0
10963	0	0	0	1	1	-1	-1
10969	0	0	-1	1	1	0	0
10981	0	0	1	1	1	-1	-1
10996	0	0	1	1	1	-1	-1
11009	0	0	1	1	1	-1	-1
11021	0	0	-1	1	1	-1	0
11036	1	0	-1	1	0	-1	-1
11048	0	0	1	1	1	-1	0
11063	1	0	1	1	1	-1	0
11066	-1	-1	-1	0	-1	-1	0
11077	1	0	-1	1	1	-1	-1
11082	1	0	-1	1	-1	1	0
11083	-1	0	-1	1	-1	1	0
11091	1	0	0	1	1	0	-1
11100	0	0	-1	1	-1	-1	0
11107	-1	0	-1	1	0	1	0
11116	1	0	-1	1	0	0	0
11121	0	0	-1	-1	-1	-1	0
11128	0	0	-1	1	-1	-1	0
11136	0	0	-1	-1	-1	-1	-1
11143	0	0	-1	-1	1	0	-1
11148	0	0	-1	1	-1	-1	-1
11162	0	0	-1	1	1	0	0
11177	0	0	-1	-1	-1	-1	-1
11183	0	0	-1	-1	-1	0	0
11186	0	0	1	1	1	0	0
11195	0	0	-1	-1	1	-1	0
11199	0	0	1	1	1	0	0
11202	0	0	0	1	1	-1	0
11210	0	0	1	0	0	-1	0
11218	0	0	-1	-1	1	0	-1
11229	0	0	-1	-1	1	-1	0
11243	-1	-1	-1	-1	1	-1	0
11252	0	0	1	0	1	-1	0
11260	0	0	-1	-1	-1	-1	0
11264	0	0	-1	-1	-1	-1	0
11272	0	0	-1	-1	-1	-1	0
11275	-1	-1	-1	-1	1	0	0
11281	0	0	1	1	1	-1	0
11284	0	0	1	1	-1	0	1
11287	0	1	1	1	1	1	1
11291	1	0	1	-1	-1	1	-1
11295	0	0	1	1	-1	0	-1
11296	0	0	1	1	1	0	0
11300	-1	-1	-1	1	-1	-1	0
11305	0	0	1	1	1	1	-1
11312	0	0	-1	0	-1	0	0
11314	0	0	1	1	1	1	0
11319	0	0	-1	1	-1	-1	-1
11322	0	0	-1	1	-1	-1	0
11334	-1	0	1	0	-1	0	1
11344	1	0	1	0	-1	0	1
11348	1	1	0	1	0	1	1
11358	0	0	1	1	0	0	0
11362	0	0	-1	1	-1	-1	1
11368	-1	1	-1	0	-1	-1	1
11376	1	0	1	1	1	1	0
11383	0	0	-1	1	-1	-1	0
11385	0	0	1	1	1	0	0
11388	0	0	1	1	0	0	1
11394	0	0	1	1	1	1	1
11396	0	0	1	1	1	1	-1
11398	0	1	1	0	0	1	0
11405	0	0	1	1	1	1	1
11410	1	1	1	1	1	1	1
11412	1	1	1	1	1	1	1
11416	1	1	1	1	1	1	0
11419	1	1	0	1	-1	0	1
11421	0	-1	0	-1	-1	0	-1
11423	0	0	0	0	-1	0	0
11426	0	0	0	-1	0	0	-1
11434	0	0	-1	1	-1	0	0
11436	0	0	1	1	0	0	0
11443	0	0	-1	1	-1	-1	0
11450	0	0	-1	1	-1	-1	0
11452	0	0	1	1	-1	1	0
11458	-1	0	1	1	1	-1	1
11468	0	0	-1	1	1	1	0
11471	1	0	-1	1	1	-1	-1
11479	0	-1	-1	1	1	1	-1
11485	0	0	-1	1	-1	0	0
11490	0	0	-1	1	-1	-1	-1
11494	0	0	-1	1	-1	-1	0
11506	-1	0	-1	-1	-1	0	0
11512	0	0	-1	1	1	1	0
11517	0	0	1	1	1	1	0
11523	0	0	1	-1	1	-1	0
11529	0	0	1	-1	1	-1	0
11532	0	0	-1	-1	-1	-1	0
11549	0	0	1	1	1	1	0
11566	0	0	1	1	0	1	0
11572	0	0	1	1	1	1	1
11578	0	0	1	1	1	0	0
11583	0	0	1	1	1	1	0
11588	0	0	0	1	1	0	0
11597	-1	0	-1	-1	1	-1	-1
11605	0	0	-1	-1	-1	-1	0
11610	1	1	1	1	1	1	1
11611	0	0	1	1	1	0	0
11612	0	0	1	1	1	0	0
11617	0	0	1	1	1	0	0
11620	0	1	1	1	1	1	1
11626	0	0	1	0	1	0	-1
11628	0	0	1	1	1	1	0
11630	0	0	0	1	1	-1	0
11634	0	0	1	1	1	0	1
11636	0	0	1	1	1	0	0
11637	0	0	1	-1	-1	0	0
